Feature,Mean |SHAP|
IsMonthToMonth,0.6695336
Tenure_to_Charges,0.44152832
FiberUser,0.20656264
PaymentMethod_Electronic_check,0.16698408
MonthlyCharges,0.13933423
PaperlessBilling_Yes,0.111496136
Contract_Two_year,0.1007968
tenure,0.0982229
OnlineSecurity_Yes,0.09738343
Contract_One_year,0.06968077
StreamingMovies_Yes,0.06814196
TechSupport_Yes,0.06571825
AvgMonthlyCharge,0.06449294
InternetService_No,0.061259657
TotalCharges,0.046367865
MultipleLines_Yes,0.039395176
Dependents_Yes,0.03508467
PhoneService_Yes,0.034081474
SeniorCitizen,0.023620682
StreamingTV_Yes,0.02304212
PaymentMethod_Mailed_check,0.015382194
ServiceCount,0.014878149
OnlineBackup_Yes,0.0139610125
InternetService_Fiber_optic,0.012494697
MultipleLines_No_phone_service,0.010139506
gender_Male,0.006690768
OnlineBackup_No_internet_service,0.004547282
PaymentMethod_Credit_card_(automatic),0.0033907837
LowEngagement,0.0033007772
DeviceProtection_Yes,0.0026895993
Partner_Yes,0.0026597495
TenureGroup_Short-Term,0.0010417374
TenureGroup_Mid-Term,0.00064524217
HighSpender,0.0
DeviceProtection_No_internet_service,0.0
OnlineSecurity_No_internet_service,0.0
StreamingMovies_No_internet_service,0.0
StreamingTV_No_internet_service,0.0
TechSupport_No_internet_service,0.0
TenureGroup_Long-Term,0.0
